# M_center  P_simulated  P_Ising_theoretical
-2.459999999999999964e+00 0.000000000000000000e+00 3.777917753925435150e-10
-2.419999999999999929e+00 0.000000000000000000e+00 2.724935259099873927e-09
-2.379999999999999893e+00 0.000000000000000000e+00 1.691610934035981051e-08
-2.339999999999999858e+00 0.000000000000000000e+00 9.119141373990187617e-08
-2.300000000000000266e+00 0.000000000000000000e+00 4.305359445619217036e-07
-2.260000000000000231e+00 7.291608769654991663e-06 1.794690626371213281e-06
-2.220000000000000195e+00 2.037268827670479581e-05 6.656601936682653675e-06
-2.180000000000000160e+00 1.876768371811793443e-04 2.213080983796552348e-05
-2.140000000000000124e+00 1.616518389409512830e-04 6.641540141567941699e-05
-2.100000000000000089e+00 3.632674363294965307e-04 1.811187813001756213e-04
-2.060000000000000053e+00 7.820651176288063002e-04 4.516835517147426630e-04
-2.020000000000000018e+00 2.452184430033472855e-03 1.036324149917823307e-03
-1.979999999999999982e+00 6.694497541162990062e-03 2.200029224786691912e-03
-1.939999999999999947e+00 8.432314451462490437e-03 4.344952508838611886e-03
-1.899999999999999911e+00 1.549420530768093329e-02 8.024051739349167753e-03
-1.859999999999999876e+00 2.290504815668531827e-02 1.392398679879675548e-02
-1.819999999999999840e+00 3.533632955251068963e-02 2.280809862824755702e-02
-1.779999999999999805e+00 4.784324717397202970e-02 3.542047131298882434e-02
-1.739999999999999769e+00 6.318117771184936227e-02 5.236458785573743641e-02
-1.699999999999999956e+00 8.544069303770247814e-02 7.398026777671821985e-02
-1.660000000000000142e+00 1.087011678451791780e-01 1.002462947900423368e-01
-1.620000000000000107e+00 1.150338776188617046e-01 1.307317418208533144e-01
-1.580000000000000071e+00 1.512845715586282058e-01 1.646079520935926077e-01
-1.540000000000000036e+00 1.744210741102968365e-01 2.007192254465937353e-01
-1.500000000000000000e+00 2.172447592543038930e-01 2.376978610082165766e-01
-1.459999999999999964e+00 2.415948627754150313e-01 2.741015945571725343e-01
-1.419999999999999929e+00 2.908400507779246857e-01 3.085498923819373629e-01
-1.379999999999999893e+00 3.094694832650961569e-01 3.398392840511852975e-01
-1.339999999999999858e+00 3.348983200005977157e-01 3.670249220061448936e-01
-1.299999999999999822e+00 3.886476802085962468e-01 3.894634960352473252e-01
-1.259999999999999787e+00 3.987721697427593637e-01 4.068195724112877998e-01
